Company,Description,State,Country,Generic Email ID,Generic Contact Number,role
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Maharashtra,India,secretarial@sunpharma.com,-43235202,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Gujarat,India,secretarial@sunpharma.com,"+91265-6615500, +91265-6615600, +91265-6615700",Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Gujarat,India,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Gujarat,India,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Gujarat,India,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Gujarat,India,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Gujarat,India,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Maharashtra,India,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Dadra & Nagar Haveli,India,secretarial@sunpharma.com,-2549220,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Dadra & Nagar Haveli,India,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Goa,India,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Madhya Pradesh,India,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Madhya Pradesh,India,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Madhya Pradesh,India,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Tamil Nadu,India,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Punjab,India,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Himachal Pradesh,India,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Himachal Pradesh,India,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Ohio,USA,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Tennessee ,USA,secretarial@sunpharma.com,14238225000,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Gazipur,Bangladesh,secretarial@sunpharma.com,88029850087,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Tiszavasvári first,Hungary,hr.tv@sunpharma.com,3642521000,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Goiania,Brazil,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Del.Iztapalapa,Mexico,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Ontario,Canada,secretarial@sunpharma.com,,Manufacturer
Sun Pharmaceutical Industries Ltd.,"Sun Pharmaceutical Industries Ltd. is a large generic pharmaceutical company that operates in over 100 countries. The company works to create new medicines to meet the needs of patients. Sun Pharma is committed to quality, reliability, and innovation.",Haifa Bay,Israel,secretarial@sunpharma.com,,Manufacturer
